"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"
3619.26	3619.17	3621.5	3627.92	3635.25	3640.54	3645.23	3647.12	3653.87	3662.68	3673.81	3685.88	3696.21	3705.27	3712.19	3727.34	3741.78	3745.79	3745.86	3745.02	3744.77	3744.75	3746.73	3749.03	3753.02	3759.08	3764.96	3770.54	3776.62	3783.5	3791.82	3801.44	3808.45	3814.2	3821.06	3828.34	3835.74	3841.84	3845.43	3846.68	3848.57	3849.67	3853.27	3858.19	3862.36	3866.24	3868.97	3871.71	3872.7	3873.14	3873.53	3875.1	3876.4	3874.34	3867.72	3860.41	3857.6	3857.69	3858.45	3861.77	3864.23	3865.13	3866.67	3871.04	3877.43	3881.98	3882.84	3877.05	3867.75	3860.48	3853.3	3842.98	3833.04	3823.89	3817.94	3815.36	3810.82	3807.99	3805.56	3804.9	3804.8	3803.57	3802.63	3800.85	3798.63	3796.52	3795.4	3795.52	3796.49	3797.84	3799.13	3801.37	3805.12	3809.78	3813.51	3818.91	3820.68	3824.82	3830.08	3835.31	3840.71	3845.48	3852.3	3858.92	3862.16	3866.82	3873.35	3881.93	3891.78	3902.31	3911.6	3919.43	3926.07	3933.04	3943.61
3619.59	3619.82	3622.52	3627.83	3632.38	3637.08	3642.86	3646.03	3652.85	3663.71	3675.74	3687.05	3695.39	3702.43	3707.33	3720.23	3735.64	3743.62	3745.6	3745.37	3745.37	3745.72	3747.73	3750.52	3754.4	3759.99	3765.67	3771.97	3779.74	3786.92	3795.86	3805.42	3813.25	3821.66	3830.78	3838.35	3844.37	3848.26	3851.13	3852.32	3852.4	3854.14	3856.69	3861.02	3866.01	3870.16	3872.96	3874.34	3876.05	3877.61	3879.13	3881.91	3885.17	3885.62	3880.65	3872.13	3865.95	3864.26	3863.94	3865.41	3867.22	3869.09	3870.76	3873.69	3877.5	3881.75	3884.47	3880.75	3872.56	3865.66	3859.49	3850.42	3839.32	3829.05	3820.62	3817.2	3812.69	3810.47	3808.59	3808.09	3807.97	3807.97	3807.71	3806.57	3804.2	3801.04	3798.31	3797.8	3798.25	3798.96	3799.45	3802	3806.6	3811.24	3815.04	3818.44	3819.39	3822.7	3827.8	3833.01	3838.07	3842.99	3849.53	3855.97	3860.61	3864.21	3869.65	3876.52	3885.33	3896.07	3907.46	3918.35	3925.55	3930.01	3936.04
3619.43	3619.83	3622.52	3627.43	3631.22	3635.91	3642.09	3645.55	3652.61	3664.84	3677.83	3687.7	3694.24	3699.82	3704.29	3713.75	3727.21	3738.39	3743.66	3745.06	3745.59	3746.53	3748.16	3751.04	3754.73	3760.54	3766.91	3775.4	3783.3	3790.95	3801.78	3811.26	3820.97	3831.58	3839.83	3844.71	3848.6	3851.37	3853.86	3855.63	3855.48	3857.42	3860.15	3865.05	3871.32	3876.04	3878.81	3880.99	3883.09	3885.16	3887.34	3890.12	3892.46	3892.73	3888.45	3879.56	3871.83	3868.55	3867.48	3868.39	3869.88	3871.72	3873.52	3876.59	3880.64	3886.44	3891.4	3889.8	3881.49	3870.99	3864.24	3856.71	3845.69	3835.72	3825.33	3818.62	3814.87	3812.73	3811.05	3810.78	3811.04	3811.86	3813.23	3813.86	3812.38	3810.05	3808.08	3805.74	3803.08	3801.41	3800.99	3803.56	3808.32	3812.5	3815.61	3818.61	3818.74	3821.19	3826.28	3831.74	3836.77	3841.46	3847.33	3853.28	3859.6	3862.46	3866.98	3873.26	3881.74	3891.1	3903.46	3916.65	3924.69	3928.12	3929.9
3619.09	3619.32	3622.44	3627.56	3633.09	3637.16	3642.02	3646.36	3654.05	3667.28	3680.56	3687.85	3692.8	3697.72	3702.42	3709.33	3720.25	3732.63	3740.65	3742.64	3746.4	3748.34	3750.52	3753.3	3756.31	3761.41	3769.64	3778.88	3786.7	3796.22	3807.63	3818.28	3827.97	3837.51	3844.92	3848.61	3850.75	3852.65	3854.26	3856.36	3858.77	3861.44	3865.19	3870.68	3878.06	3883.14	3885.93	3887.79	3889.53	3891.18	3894.26	3897.07	3898.41	3897.62	3893.95	3886.63	3879.34	3873.93	3871.65	3872.06	3873.02	3874.26	3877.22	3882.91	3890.44	3897.56	3902.21	3902.92	3897.46	3883.14	3872.02	3863.17	3853.8	3842.92	3830.64	3821.6	3818.09	3814.24	3812.48	3813.92	3813.94	3814.93	3817.27	3819.33	3819.14	3819.56	3819.93	3816.04	3810.84	3807.55	3806.51	3808.12	3811.52	3814.74	3816.52	3817.76	3818.52	3820.88	3825.74	3831.13	3836.03	3840.98	3846.67	3851.31	3858.94	3861.01	3865.04	3871	3879.29	3887.5	3898.83	3912.21	3920.56	3923.09	3923.56
3618.69	3619.86	3622.69	3627.37	3633.02	3637.23	3642.06	3648.75	3658.16	3670.47	3681.91	3687.18	3690.5	3694.5	3698.93	3704.84	3714.44	3726.92	3736.76	3741.22	3744.16	3747.11	3750.07	3753.92	3758.32	3764.65	3773.83	3782.61	3790.54	3801.83	3814.68	3824.99	3832.38	3839.31	3846.2	3850.77	3852.54	3854.64	3856.67	3859.56	3863.03	3865.76	3869.51	3875.76	3883.62	3889.67	3893.51	3895.84	3897.3	3899.14	3901.89	3904.2	3904.89	3904.07	3901.9	3897.53	3891.56	3885.14	3880.85	3879.78	3880.21	3882.21	3886.99	3895.26	3906.51	3914.56	3914.58	3912.67	3909.58	3895.46	3882.69	3871.58	3861.92	3851.06	3836.76	3825.73	3820.06	3816.35	3814.16	3814.92	3815.34	3816.45	3818.42	3820.57	3821.59	3822.66	3823.36	3820.64	3816.7	3813.84	3813.13	3813.7	3815.4	3817.47	3818.73	3819.56	3820.56	3822.48	3826.74	3831.64	3836.22	3840.54	3845.86	3850.32	3858.66	3859.65	3863.25	3868.79	3876.15	3883.71	3894.48	3907.02	3914.59	3917.56	3918.11
3616.15	3617.85	3621.97	3627.24	3632.92	3637.74	3641.62	3650.37	3659.94	3669.73	3679.19	3683.62	3687.46	3692.13	3696.15	3700.46	3709.36	3721.95	3732.24	3738.12	3740.76	3745.49	3749.94	3755.45	3761.91	3770.16	3779.7	3787.99	3797.09	3809.63	3821.69	3830.78	3835.28	3841.17	3847.72	3852.32	3854.82	3857.47	3860.39	3863.76	3866.15	3869.38	3873.47	3880.27	3888.98	3896.33	3901.01	3904.04	3905.34	3906.23	3907.98	3909.75	3910.67	3909.93	3907.85	3905.96	3903.54	3899.77	3894.46	3890.62	3890.16	3893.03	3900.36	3911.37	3922.44	3928.95	3927.06	3921.7	3914.6	3904.46	3891.85	3880.2	3870.18	3859.53	3845.09	3832.58	3824.66	3819.38	3817.13	3815.78	3816.12	3817.16	3818.7	3820.55	3822.22	3823.36	3823.42	3821.81	3819.25	3817.74	3818.01	3818.02	3818.42	3819.5	3820.14	3821.18	3822.82	3824.99	3828.53	3832.63	3836.71	3840.46	3845.45	3850.61	3853.7	3857.78	3862.03	3867.17	3873.08	3879.58	3889.75	3901.79	3908.99	3912.22	3913.6
3619.61	3621.49	3624.33	3629.34	3634.84	3638.22	3641.25	3648.94	3656.48	3664.78	3674.26	3679.77	3685.73	3692.04	3696.38	3698.91	3706.45	3718.66	3727.81	3733.78	3737.6	3743.7	3748.97	3756.16	3764.96	3775.13	3785.96	3794.72	3805.31	3817.39	3826.48	3833.56	3837.47	3844.53	3851.49	3855.9	3858.85	3861.97	3865.28	3869.41	3872.13	3875.02	3879.02	3886.31	3895.4	3903.15	3908.17	3911.59	3913.15	3912.97	3913.41	3914.68	3916.33	3915.59	3913.61	3914.64	3914.55	3910.9	3905.59	3902.01	3902.28	3906.88	3915.46	3926.92	3935.47	3938.98	3938.05	3931.22	3921.68	3911.49	3899.9	3887.2	3875.39	3865.72	3853.78	3842	3832.79	3825.57	3820.27	3817.67	3816.89	3817.62	3818.68	3820.87	3823.06	3823.99	3823.63	3822.16	3820.14	3819.32	3820.09	3820.01	3819.77	3819.96	3820.09	3822.18	3824.43	3827.02	3830.15	3833.64	3837.2	3840.46	3845.4	3850.67	3854.13	3858.43	3862.36	3867.27	3871.58	3876.34	3884.42	3895.34	3903.39	3907.36	3909.56
3636.7	3639.39	3634.21	3634.4	3638.45	3640.79	3644.01	3649.8	3656.11	3664.01	3673.54	3678.65	3685.72	3692.15	3699.67	3700.9	3706.72	3716.15	3722.89	3728.74	3733.52	3739.59	3746.24	3755.18	3766.38	3777.3	3789.05	3798.08	3808.15	3818.21	3825.65	3833.03	3839.81	3847.83	3856.35	3860.41	3862.61	3865.89	3869.67	3875.5	3879.48	3882.21	3886.34	3893.37	3901.88	3909.04	3914.26	3917.51	3919.02	3918.69	3918.07	3919.09	3922.8	3924.06	3924.85	3931.13	3933.44	3926.59	3919.17	3917.08	3918.92	3924.51	3932.24	3940.41	3945.46	3947.36	3946.53	3939.18	3928.56	3919.21	3908.46	3894.52	3882.37	3873.22	3860.88	3849.97	3841.92	3834.44	3827.79	3822.97	3820.2	3819.81	3819.45	3821.44	3823.55	3824.15	3822.96	3821.96	3820.67	3820.18	3820.88	3820.96	3820.44	3820.16	3821.38	3824.06	3826.92	3828.81	3831.37	3833.99	3836.79	3840.45	3845.57	3851.17	3855.78	3860.66	3863.72	3868.47	3871.86	3875.26	3880.72	3889.21	3897.55	3902.61	3905.31
3644.71	3644.13	3638.68	3637.97	3641.09	3645.24	3649.87	3654.3	3660.11	3667.81	3675.86	3679.36	3685.42	3692.8	3699.34	3700.86	3705.72	3712.53	3717.52	3724.17	3729.99	3736.63	3744.59	3753.48	3763.63	3774.63	3785.35	3794.88	3804.13	3812.67	3819.63	3827.29	3835.61	3843.89	3854.85	3860.88	3863.76	3868.38	3873.79	3880.89	3885.55	3889.39	3894.16	3900.18	3907.46	3913.33	3918.64	3922.43	3924.19	3924.78	3924.78	3926.06	3930.5	3933.78	3934.5	3938.67	3944.11	3943.59	3938.04	3933.55	3935.93	3941.65	3945.18	3948.5	3952.74	3955.18	3952.9	3945.65	3935.98	3926.89	3919	3905.06	3890.16	3879.12	3865.97	3855.86	3849.23	3843.57	3837.82	3832.91	3828.6	3826.79	3825.53	3825.69	3827.07	3827.13	3825.29	3823.95	3822.61	3821.99	3822.34	3822.35	3822.05	3821.85	3824.05	3826.34	3828.86	3830.52	3832.74	3834.93	3837.22	3840.42	3845.44	3851.74	3857.56	3862.87	3865.33	3870.4	3873.84	3876.09	3878.95	3884.61	3892.68	3898.71	3902.37
3647.69	3644.34	3640.22	3638.69	3642.65	3651.26	3656.4	3658.68	3663.29	3671.37	3678.42	3681.34	3687.17	3695.22	3699.41	3700.29	3704.19	3710.07	3715.54	3722.1	3727.86	3735.06	3742.96	3748.82	3755.76	3765.02	3775.87	3787.63	3797.3	3806.75	3814.42	3818.64	3825.47	3833.46	3844.56	3854.91	3862.23	3869.56	3877.46	3885.16	3890.34	3895.22	3901.31	3906.38	3911.54	3916.39	3921.2	3925.64	3927.87	3929.36	3931.32	3933.6	3937.19	3940.45	3939.06	3937.99	3943.25	3949.56	3950.82	3951.21	3953.57	3956	3957.68	3961.3	3964.72	3965.06	3961.64	3955.19	3945.72	3936.57	3929.23	3920.23	3903.19	3888.32	3873.69	3864.22	3856.77	3853.15	3848.79	3842.93	3839.22	3836.79	3835.31	3833.17	3832.44	3830.82	3827.88	3826.25	3825.06	3824.44	3824.42	3824.23	3824.05	3824.01	3827.22	3828.91	3830.9	3832.24	3834.15	3835.99	3837.85	3840.23	3844.56	3851.35	3858.06	3863.87	3866.86	3873.04	3877.09	3878.61	3879.14	3883.24	3890.07	3896.3	3900.41
3654.22	3648.07	3639.65	3639.23	3646.55	3657.21	3662.53	3663.43	3667.13	3673.69	3678.84	3681.39	3689.51	3698.47	3700.79	3701.67	3704.14	3707.92	3712.12	3717.14	3722.42	3728.84	3736.19	3740.54	3745.41	3753.42	3763.4	3774.88	3786.83	3797.54	3806.33	3810.06	3815.45	3824.66	3838.74	3852.17	3862.39	3871.71	3881.43	3889.84	3895.54	3901.68	3907.64	3911.81	3916.23	3920.14	3924.12	3928.44	3931.7	3933.8	3937.31	3940.02	3942.44	3943.8	3941.99	3939.63	3943.79	3951.55	3957.55	3964.03	3969.68	3973.74	3977.65	3980.27	3980.37	3978.05	3973.98	3967.71	3959.33	3948.55	3938.67	3932	3920.15	3905.21	3892.21	3879.79	3871.28	3865.03	3860.81	3855.58	3849.7	3845.09	3842.28	3841.35	3838.95	3835.33	3830.89	3828.43	3827.16	3826.56	3826.41	3826.15	3826.02	3825.99	3829.94	3831.26	3832.88	3834	3835.64	3837.13	3838.39	3839.45	3842.46	3849.65	3856.79	3863	3867.08	3874.6	3880.14	3881.58	3881.84	3884.67	3889.92	3895.28	3899.32
3659.76	3654.25	3641.37	3641.21	3650.07	3659.06	3664.78	3666.72	3671.27	3676.2	3679.66	3682.7	3689.4	3696.26	3698.75	3700.03	3701.5	3703.08	3704.66	3707.06	3711.45	3717.2	3723.93	3729.44	3735.48	3743.49	3751.67	3762.47	3773.75	3785.05	3794.12	3798.99	3806.95	3824.79	3840.31	3852.89	3864.57	3875.48	3885.74	3894.44	3900.98	3906.68	3912.04	3916.55	3921.23	3925.03	3928.53	3930.48	3933.37	3936.95	3941.24	3944.15	3945.69	3946.13	3944.97	3944.48	3947.26	3952.93	3959.73	3968.9	3977.92	3984.81	3989.53	3991.22	3990.47	3988.38	3985.33	3981.03	3974.17	3964.18	3953.23	3941.99	3932.44	3919.87	3909.37	3899.9	3891.12	3883.39	3877.85	3872.82	3866.58	3859.72	3854.01	3849.8	3847.68	3843.53	3837.55	3833.92	3829.11	3828.06	3828.32	3828.42	3828.65	3829.04	3831.9	3833.02	3834.42	3836.37	3837.83	3839.78	3839.56	3839.5	3841.38	3847.99	3854.28	3860.4	3865.76	3874.21	3880.86	3882.39	3884.72	3887.11	3891.21	3896.03	3899.55
